code,parent,urn,name#es,name#en,name#ca,description#es,description#en,description#ca
86,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).86,Pulpo (Octopus vulgaris),,,,,
87,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).87,Aves cautivas y ornamentales,,,,,
89,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).89,Mugil (Mugil cephalus),,,,,
90,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).90,Mejillón del Mediterráneo/Clóchina,,,,,
91,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).91,Abadejo (Pollachius pollachius),,,,,
92,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).92,Besugo (Pagellus bogaraveo),,,,,
93,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).93,Insectos,,,,,
95,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).95,Coris spp.,,,,,
96,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).96,Symphodus spp.,,,,,
97,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).97,Diplodus spp.,,,,,
98,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).98,Serranus Scriba,,,,,
99,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).99,Núcleos zoológicos,,,,,
